state,id,name,qtd_usuarios,qtd_acessos_unicos,qtd_acessos_totais
São Paulo,3500105,Adamantina,0,0,0
São Paulo,3500204,Adolfo,0,0,0
São Paulo,3500303,Aguaí,0,0,0
São Paulo,3500402,Águas da Prata,0,0,0
São Paulo,3500501,Águas de Lindóia,0,0,0
São Paulo,3500550,Águas de Santa Bárbara,0,0,0
São Paulo,3500600,Águas de São Pedro,0,0,0
São Paulo,3500709,Agudos,0,0,0
São Paulo,3500758,Alambari,0,0,0
São Paulo,3500808,Alfredo Marcondes,0,0,0
São Paulo,3500907,Altair,0,0,0
São Paulo,3501004,Altinópolis,0,0,0
São Paulo,3501103,Alto Alegre,0,0,0
São Paulo,3501152,Alumínio,0,0,0
São Paulo,3501202,Álvares Florence,0,0,0
São Paulo,3501301,Álvares Machado,0,0,0
São Paulo,3501400,Álvaro de Carvalho,0,0,0
São Paulo,3501509,Alvinlândia,0,0,0
São Paulo,3501608,Americana,33,10,610
São Paulo,3501707,Américo Brasiliense,0,0,0
São Paulo,3501806,Américo de Campos,0,0,0
São Paulo,3501905,Amparo,0,0,0
São Paulo,3502002,Analândia,0,0,0
São Paulo,3502101,Andradina,0,0,0
São Paulo,3502200,Angatuba,0,0,0
São Paulo,3502309,Anhembi,0,0,0
São Paulo,3502408,Anhumas,0,0,0
São Paulo,3502507,Aparecida,0,0,0
São Paulo,3502606,Aparecida d'Oeste,0,0,0
São Paulo,3502705,Apiaí,0,0,0
São Paulo,3502754,Araçariguama,0,0,0
São Paulo,3502804,Araçatuba,0,0,0
São Paulo,3502903,Araçoiaba da Serra,0,0,0
São Paulo,3503000,Aramina,0,0,0
São Paulo,3503109,Arandu,0,0,0
São Paulo,3503158,Arapeí,0,0,0
São Paulo,3503208,Araraquara,1,1,3
São Paulo,3503307,Araras,47,2,85
São Paulo,3503356,Arco-Íris,0,0,0
São Paulo,3503406,Arealva,0,0,0
São Paulo,3503505,Areias,0,0,0
São Paulo,3503604,Areiópolis,0,0,0
São Paulo,3503703,Ariranha,0,0,0
São Paulo,3503802,Artur Nogueira,0,0,0
São Paulo,3503901,Arujá,0,0,0
São Paulo,3503950,Aspásia,0,0,0
São Paulo,3504008,Assis,63,6,147
São Paulo,3504107,Atibaia,237,45,1279
São Paulo,3504206,Auriflama,0,0,0
São Paulo,3504305,Avaí,0,0,0
São Paulo,3504404,Avanhandava,0,0,0
São Paulo,3504503,Avaré,509,33,1873
São Paulo,3504602,Bady Bassitt,0,0,0
São Paulo,3504701,Balbinos,0,0,0
São Paulo,3504800,Bálsamo,0,0,0
São Paulo,3504909,Bananal,0,0,0
São Paulo,3505005,Barão de Antonina,0,0,0
São Paulo,3505104,Barbosa,0,0,0
São Paulo,3505203,Bariri,0,0,0
São Paulo,3505302,Barra Bonita,0,0,0
São Paulo,3505351,Barra do Chapéu,0,0,0
São Paulo,3505401,Barra do Turvo,0,0,0
São Paulo,3505500,Barretos,49,42,1293
São Paulo,3505609,Barrinha,0,0,0
São Paulo,3505708,Barueri,45,27,1055
São Paulo,3505807,Bastos,0,0,0
São Paulo,3505906,Batatais,67,15,489
São Paulo,3506003,Bauru,1536,87,3222
São Paulo,3506102,Bebedouro,0,0,0
São Paulo,3506201,Bento de Abreu,0,0,0
São Paulo,3506300,Bernardino de Campos,0,0,0
São Paulo,3506359,Bertioga,0,0,0
São Paulo,3506409,Bilac,0,0,0
São Paulo,3506508,Birigui,0,0,0
São Paulo,3506607,Biritiba Mirim,0,0,0
São Paulo,3506706,Boa Esperança do Sul,0,0,0
São Paulo,3506805,Bocaina,0,0,0
São Paulo,3506904,Bofete,0,0,0
São Paulo,3507001,Boituva,0,0,0
São Paulo,3507100,Bom Jesus dos Perdões,0,0,0
São Paulo,3507159,Bom Sucesso de Itararé,0,0,0
São Paulo,3507209,Borá,0,0,0
São Paulo,3507308,Boracéia,0,0,0
São Paulo,3507407,Borborema,0,0,0
São Paulo,3507456,Borebi,0,0,0
São Paulo,3507506,Botucatu,210,42,1491
São Paulo,3507605,Bragança Paulista,355,40,2491
São Paulo,3507704,Braúna,0,0,0
São Paulo,3507753,Brejo Alegre,0,0,0
São Paulo,3507803,Brodowski,0,0,0
São Paulo,3507902,Brotas,23,17,473
São Paulo,3508009,Buri,0,0,0
São Paulo,3508108,Buritama,0,0,0
São Paulo,3508207,Buritizal,0,0,0
São Paulo,3508306,Cabrália Paulista,0,0,0
São Paulo,3508405,Cabreúva,0,0,0
São Paulo,3508504,Caçapava,0,0,0
São Paulo,3508603,Cachoeira Paulista,0,0,0
São Paulo,3508702,Caconde,0,0,0
São Paulo,3508801,Cafelândia,0,0,0
São Paulo,3508900,Caiabu,0,0,0
São Paulo,3509007,Caieiras,369,31,984
São Paulo,3509106,Caiuá,0,0,0
São Paulo,3509205,Cajamar,18,11,827
São Paulo,3509254,Cajati,0,0,0
São Paulo,3509304,Cajobi,0,0,0
São Paulo,3509403,Cajuru,0,0,0
São Paulo,3509452,Campina do Monte Alegre,0,0,0
São Paulo,3509502,Campinas,1682,133,4183
São Paulo,3509601,Campo Limpo Paulista,89,26,793
São Paulo,3509700,Campos do Jordão,0,0,0
São Paulo,3509809,Campos Novos Paulista,0,0,0
São Paulo,3509908,Cananéia,0,0,0
São Paulo,3509957,Canas,0,0,0
São Paulo,3510005,Cândido Mota,0,0,0
São Paulo,3510104,Cândido Rodrigues,0,0,0
São Paulo,3510153,Canitar,0,0,0
São Paulo,3510203,Capão Bonito,6,6,259
São Paulo,3510302,Capela do Alto,0,0,0
São Paulo,3510401,Capivari,0,0,0
São Paulo,3510500,Caraguatatuba,0,0,0
São Paulo,3510609,Carapicuíba,80,44,2166
São Paulo,3510708,Cardoso,0,0,0
São Paulo,3510807,Casa Branca,29,2,5
São Paulo,3510906,Cássia dos Coqueiros,0,0,0
São Paulo,3511003,Castilho,0,0,0
São Paulo,3511102,Catanduva,165,64,3123
São Paulo,3511201,Catiguá,0,0,0
São Paulo,3511300,Cedral,0,0,0
São Paulo,3511409,Cerqueira César,0,0,0
São Paulo,3511508,Cerquilho,0,0,0
São Paulo,3511607,Cesário Lange,0,0,0
São Paulo,3511706,Charqueada,0,0,0
São Paulo,3511904,Clementina,0,0,0
São Paulo,3512001,Colina,0,0,0
São Paulo,3512100,Colômbia,0,0,0
São Paulo,3512209,Conchal,0,0,0
São Paulo,3512308,Conchas,0,0,0
São Paulo,3512407,Cordeirópolis,0,0,0
São Paulo,3512506,Coroados,0,0,0
São Paulo,3512605,Coronel Macedo,0,0,0
São Paulo,3512704,Corumbataí,0,0,0
São Paulo,3512803,Cosmópolis,0,0,0
São Paulo,3512902,Cosmorama,0,0,0
São Paulo,3513009,Cotia,688,112,4611
São Paulo,3513108,Cravinhos,0,0,0
São Paulo,3513207,Cristais Paulista,0,0,0
São Paulo,3513306,Cruzália,0,0,0
São Paulo,3513405,Cruzeiro,116,32,1424
São Paulo,3513504,Cubatão,109,15,568
São Paulo,3513603,Cunha,0,0,0
São Paulo,3513702,Descalvado,0,0,0
São Paulo,3513801,Diadema,0,0,0
São Paulo,3513850,Dirce Reis,0,0,0
São Paulo,3513900,Divinolândia,0,0,0
São Paulo,3514007,Dobrada,0,0,0
São Paulo,3514106,Dois Córregos,0,0,0
São Paulo,3514205,Dolcinópolis,0,0,0
São Paulo,3514304,Dourado,0,0,0
São Paulo,3514403,Dracena,77,5,298
São Paulo,3514502,Duartina,0,0,0
São Paulo,3514601,Dumont,0,0,0
São Paulo,3514700,Echaporã,0,0,0
São Paulo,3514809,Eldorado,0,0,0
São Paulo,3514908,Elias Fausto,0,0,0
São Paulo,3514924,Elisiário,0,0,0
São Paulo,3514957,Embaúba,0,0,0
São Paulo,3515004,Embu das Artes,832,82,2541
São Paulo,3515103,Embu-Guaçu,0,0,0
São Paulo,3515129,Emilianópolis,0,0,0
São Paulo,3515152,Engenheiro Coelho,0,0,0
São Paulo,3515186,Espírito Santo do Pinhal,0,0,0
São Paulo,3515194,Espírito Santo do Turvo,0,0,0
São Paulo,3515202,Estrela d'Oeste,0,0,0
São Paulo,3515301,Estrela do Norte,0,0,0
São Paulo,3515350,Euclides da Cunha Paulista,0,0,0
São Paulo,3515400,Fartura,0,0,0
São Paulo,3515509,Fernandópolis,57,14,796
São Paulo,3515608,Fernando Prestes,0,0,0
São Paulo,3515657,Fernão,0,0,0
São Paulo,3515707,Ferraz de Vasconcelos,0,0,0
São Paulo,3515806,Flora Rica,0,0,0
São Paulo,3515905,Floreal,0,0,0
São Paulo,3516002,Flórida Paulista,0,0,0
São Paulo,3516101,Florínea,0,0,0
São Paulo,3516200,Franca,177,15,902
São Paulo,3516309,Francisco Morato,0,0,0
São Paulo,3516408,Franco da Rocha,0,0,0
São Paulo,3516507,Gabriel Monteiro,0,0,0
São Paulo,3516606,Gália,0,0,0
São Paulo,3516705,Garça,0,0,0
São Paulo,3516804,Gastão Vidigal,0,0,0
São Paulo,3516853,Gavião Peixoto,0,0,0
São Paulo,3516903,General Salgado,0,0,0
São Paulo,3517000,Getulina,0,0,0
São Paulo,3517109,Glicério,0,0,0
São Paulo,3517208,Guaiçara,0,0,0
São Paulo,3517307,Guaimbê,0,0,0
São Paulo,3517406,Guaíra,0,0,0
São Paulo,3517505,Guapiaçu,0,0,0
São Paulo,3517604,Guapiara,0,0,0
São Paulo,3517703,Guará,0,0,0
São Paulo,3517802,Guaraçaí,0,0,0
São Paulo,3517901,Guaraci,0,0,0
São Paulo,3518008,Guarani d'Oeste,0,0,0
São Paulo,3518107,Guarantã,0,0,0
São Paulo,3518206,Guararapes,458,12,1637
São Paulo,3518305,Guararema,0,0,0
São Paulo,3518404,Guaratinguetá,0,0,0
São Paulo,3518503,Guareí,0,0,0
São Paulo,3518602,Guariba,0,0,0
São Paulo,3518701,Guarujá,0,0,0
São Paulo,3518800,Guarulhos,521,99,2786
São Paulo,3518859,Guatapará,0,0,0
São Paulo,3518909,Guzolândia,0,0,0
São Paulo,3519006,Herculândia,0,0,0
São Paulo,3519055,Holambra,0,0,0
São Paulo,3519071,Hortolândia,130,51,2113
São Paulo,3519105,Iacanga,0,0,0
São Paulo,3519204,Iacri,0,0,0
São Paulo,3519253,Iaras,0,0,0
São Paulo,3519303,Ibaté,0,0,0
São Paulo,3519402,Ibirá,0,0,0
São Paulo,3519501,Ibirarema,0,0,0
São Paulo,3519600,Ibitinga,0,0,0
São Paulo,3519709,Ibiúna,0,0,0
São Paulo,3519808,Icém,189,60,1502
São Paulo,3519907,Iepê,0,0,0
São Paulo,3520004,Igaraçu do Tietê,0,0,0
São Paulo,3520103,Igarapava,0,0,0
São Paulo,3520202,Igaratá,0,0,0
São Paulo,3520301,Iguape,0,0,0
São Paulo,3520400,Ilhabela,0,0,0
São Paulo,3520426,Ilha Comprida,0,0,0
São Paulo,3520442,Ilha Solteira,0,0,0
São Paulo,3520509,Indaiatuba,0,0,0
São Paulo,3520608,Indiana,0,0,0
São Paulo,3520707,Indiaporã,0,0,0
São Paulo,3520806,Inúbia Paulista,0,0,0
São Paulo,3520905,Ipaussu,0,0,0
São Paulo,3521002,Iperó,0,0,0
São Paulo,3521101,Ipeúna,0,0,0
São Paulo,3521150,Ipiguá,0,0,0
São Paulo,3521200,Iporanga,0,0,0
São Paulo,3521309,Ipuã,0,0,0
São Paulo,3521408,Iracemápolis,0,0,0
São Paulo,3521507,Irapuã,0,0,0
São Paulo,3521606,Irapuru,0,0,0
São Paulo,3521705,Itaberá,0,0,0
São Paulo,3521804,Itaí,0,0,0
São Paulo,3521903,Itajobi,0,0,0
São Paulo,3522000,Itaju,0,0,0
São Paulo,3522109,Itanhaém,8,7,379
São Paulo,3522158,Itaoca,0,0,0
São Paulo,3522208,Itapecerica da Serra,77,20,1115
São Paulo,3522307,Itapetininga,0,0,0
São Paulo,3522406,Itapeva,0,0,0
São Paulo,3522505,Itapevi,12,14,450
São Paulo,3522604,Itapira,0,0,0
São Paulo,3522653,Itapirapuã Paulista,0,0,0
São Paulo,3522703,Itápolis,0,0,0
São Paulo,3522802,Itaporanga,0,0,0
São Paulo,3522901,Itapuí,0,0,0
São Paulo,3523008,Itapura,0,0,0
São Paulo,3523107,Itaquaquecetuba,160,27,1044
São Paulo,3523206,Itararé,0,0,0
São Paulo,3523305,Itariri,0,0,0
São Paulo,3523404,Itatiba,14,14,649
São Paulo,3523503,Itatinga,0,0,0
São Paulo,3523602,Itirapina,0,0,0
São Paulo,3523701,Itirapuã,0,0,0
São Paulo,3523800,Itobi,0,0,0
São Paulo,3523909,Itu,123,1,30
São Paulo,3524006,Itupeva,0,0,0
São Paulo,3524105,Ituverava,47,18,741
São Paulo,3524204,Jaborandi,0,0,0
São Paulo,3524303,Jaboticabal,0,0,0
São Paulo,3524402,Jacareí,43,2,210
São Paulo,3524501,Jaci,0,0,0
São Paulo,3524600,Jacupiranga,0,0,0
São Paulo,3524709,Jaguariúna,0,0,0
São Paulo,3524808,Jales,0,0,0
São Paulo,3524907,Jambeiro,0,0,0
São Paulo,3525003,Jandira,228,24,1365
São Paulo,3525102,Jardinópolis,0,0,0
São Paulo,3525201,Jarinu,0,0,0
São Paulo,3525300,Jaú,284,39,820
São Paulo,3525409,Jeriquara,0,0,0
São Paulo,3525508,Joanópolis,0,0,0
São Paulo,3525607,João Ramalho,0,0,0
São Paulo,3525706,José Bonifácio,0,0,0
São Paulo,3525805,Júlio Mesquita,0,0,0
São Paulo,3525854,Jumirim,0,0,0
São Paulo,3525904,Jundiaí,315,91,3173
São Paulo,3526001,Junqueirópolis,0,0,0
São Paulo,3526100,Juquiá,0,0,0
São Paulo,3526209,Juquitiba,0,0,0
São Paulo,3526308,Lagoinha,0,0,0
São Paulo,3526407,Laranjal Paulista,0,0,0
São Paulo,3526506,Lavínia,0,0,0
São Paulo,3526605,Lavrinhas,0,0,0
São Paulo,3526704,Leme,0,0,0
São Paulo,3526803,Lençóis Paulista,0,0,0
São Paulo,3526902,Limeira,1221,122,2959
São Paulo,3527009,Lindóia,0,0,0
São Paulo,3527108,Lins,19,17,1113
São Paulo,3527207,Lorena,12,12,394
São Paulo,3527256,Lourdes,0,0,0
São Paulo,3527306,Louveira,57,9,459
São Paulo,3527405,Lucélia,0,0,0
São Paulo,3527504,Lucianópolis,0,0,0
São Paulo,3527603,Luís Antônio,0,0,0
São Paulo,3527702,Luiziânia,0,0,0
São Paulo,3527801,Lupércio,0,0,0
São Paulo,3527900,Lutécia,0,0,0
São Paulo,3528007,Macatuba,0,0,0
São Paulo,3528106,Macaubal,0,0,0
São Paulo,3528205,Macedônia,0,0,0
São Paulo,3528304,Magda,0,0,0
São Paulo,3528403,Mairinque,0,0,0
São Paulo,3528502,Mairiporã,451,91,3059
São Paulo,3528601,Manduri,0,0,0
São Paulo,3528700,Marabá Paulista,0,0,0
São Paulo,3528809,Maracaí,0,0,0
São Paulo,3528858,Marapoama,0,0,0
São Paulo,3528908,Mariápolis,0,0,0
São Paulo,3529005,Marília,0,0,0
São Paulo,3529104,Marinópolis,0,0,0
São Paulo,3529203,Martinópolis,0,0,0
